"","muncode","longitud","km","AREA","sqkm","densidad","densidad_r"
"1",1001,1000223.22126559,1000.22322126559,1166359235.67456,1166.35923567456,85.756016729024,2195
"2",1002,313057.559456689,313.057559456689,543374263.242676,543.374263242676,57.6136156299465,1909
"3",1003,202959.639100591,202.959639100591,923357829.840332,923.357829840332,21.9806051935128,933
"4",1004,95098.7444794694,95.0987444794694,128383541.188477,128.383541188477,74.0739378265451,2104
"5",1005,302138.590922607,302.138590922607,499895099.716553,499.895099716553,60.4403986144141,1954
"6",1006,115626.079689909,115.626079689909,195735952.375,195.735952375,59.0724791674386,1933
"7",1007,190204.579017147,190.204579017147,372295163.686523,372.295163686523,51.0897259942118,1812
"8",1008,152042.294597411,152.042294597411,857790570.368896,857.790570368896,17.7248736287722,744
"9",1009,128500.812550338,128.500812550338,229661016.249268,229.661016249268,55.9523834950143,1892
"10",1010,185618.112048781,185.618112048781,504050987.687256,504.050987687256,36.825265019409,1471
"11",1011,156326.07400724,156.32607400724,137770178.051025,137.770178051025,113.468731926399,2306
"12",2001,2989496.01041211,2989.49601041211,53256166456.2275,53256.1664562275,5.6134269688173,171
"13",2002,2554739.75307083,2554.73975307083,15813238882.9468,15813.2388829468,16.1557020164028,661
"14",2003,512420.030630862,512.420030630862,2724360380.99072,2724.36038099072,18.8088196483212,802
"15",2004,640137.97467117,640.13797467117,1252140651.57153,1252.14065157153,51.1234879138975,1813
"16",2005,242963.068112419,242.963068112419,506112628.833984,506.112628833984,48.0057311891572,1745
"17",3001,904318.296817264,904.318296817264,18155584969.4243,18155.5849694243,4.98093726167579,141
"18",3002,1253330.33435028,1253.33033435028,31847120829.7104,31847.1208297104,3.93545884744795,94
"19",3003,1499128.55446188,1499.12855446188,15668860699.8069,15668.8606998069,9.56756578019966,330
"20",3008,575670.408856837,575.670408856837,3710913920.94299,3710.91392094299,15.5129011645345,632
"21",3009,395677.762267608,395.677762267608,4586504290.24634,4586.50429024634,8.6270008099427,299
"22",4001,293533.359141393,293.533359141393,2085404428.54663,2085.40442854663,14.0756083147845,558
"23",4002,664632.830963269,664.632830963269,3223593449.33008,3223.59344933008,20.6177621778389,877
"24",4003,646283.73574064,646.28373574064,8544727246.57349,8544.72724657349,7.56353850849722,251
"25",4004,671216.197194663,671.216197194663,6820650413.81885,6820.65041381885,9.84094120752411,342
"26",4005,168799.041473885,168.799041473885,1265570161.95898,1265.57016195898,13.3377861257885,525
"27",4006,521453.762874022,521.453762874022,7734005145.78223,7734.00514578223,6.74235086536501,211
"28",4007,118670.421811348,118.670421811348,2181411405.0647,2181.4114050647,5.44007524375387,161
"29",4008,123230.385273333,123.230385273333,1051071072.41113,1051.07107241113,11.7242676073888,439
"30",4009,356402.909576362,356.402909576362,4766831576.85596,4766.83157685596,7.4767254481316,247
"31",4010,661640.599713364,661.640599713364,13946065762.1719,13946.0657621719,4.74428136935964,129
"32",4011,624383.516803946,624.383516803946,5657999684.3894,5657.9996843894,11.035410951447,411
"33",5001,11318.9456222941,11.3189456222941,737956551.096924,737.956551096924,1.53382277120099,20
"34",5002,229864.790443977,229.864790443977,11461269186.2935,11461.2691862935,2.00557884740089,25
"35",5003,64648.1384183862,64.6481384183862,250625315.344727,250.625315344727,25.7947359904425,1078
"36",5004,402763.636701813,402.763636701813,1619153133.21021,1619.15313321021,24.8749564473421,1040
"37",5005,78728.7932976001,78.7287932976001,2102816506.39844,2102.81650639844,3.74396877036321,84
"38",5006,274792.491751183,274.792491751183,3316091660.98975,3316.09166098975,8.28663739859249,277
"39",5007,261933.495510785,261.933495510785,10588649523.094,10588.649523094,2.47371957056001,40
"40",5008,94733.3940012899,94.7333940012899,1018163456.0144,1018.1634560144,9.30434042212861,321
"41",5009,232039.269909809,232.039269909809,2786113636.38794,2786.11363638794,8.32842088274034,281
"42",5010,53426.6013646554,53.4266013646554,454089165.942383,454.089165942383,11.7656630837641,442
"43",5011,347212.950152563,347.212950152563,2615299089.70068,2615.29908970068,13.2762234162786,520
"44",5012,116429.794601743,116.429794601743,2913403618.05273,2913.40361805273,3.99634962626848,98
"45",5013,76080.6105436186,76.0806105436186,1123853296.96289,1123.85329696289,6.76962115511156,214
"46",5014,141458.420861702,141.458420861702,2197065732.18701,2197.06573218701,6.43851564335723,201
"47",5015,125673.83050886,125.67383050886,2444037935.31299,2444.03793531299,5.1420572771415,148
"48",5016,1848.8593513961,1.8488593513961,668700921.541748,668.700921541748,0.27648524053674,3
"49",5017,304961.116810889,304.961116810889,798271023.884277,798.271023884277,38.2027040549449,1507
"50",5018,186051.308020488,186.051308020488,1242172938.58057,1242.17293858057,14.9778909394927,605
"51",5019,75734.528000379,75.734528000379,636660486.494141,636.660486494141,11.8955910735754,450
"52",5020,306813.826113532,306.813826113532,8258300206.46143,8258.30020646143,3.71521764095565,82
"53",5021,32635.6659993664,32.6356659993664,711737591.4375,711.7375914375,4.58535089223712,123
"54",5022,244330.008524964,244.330008524964,904853417.640137,904.853417640137,27.0021645231973,1132
"55",5023,899573.035055383,899.573035055383,25898864779.7205,25898.8647797205,3.47340720416354,72
"56",5024,779407.949982529,779.407949982529,10517785430.8862,10517.7854308862,7.41038077933917,245
"57",5025,168859.295483901,168.859295483901,473245996.003418,473.245996003418,35.6810827582114,1424
"58",5026,240583.438015114,240.583438015114,2868304774.59424,2868.30477459424,8.38765253072341,285
"59",5027,671303.84149838,671.30384149838,6692502736.2019,6692.5027362019,10.0306846027433,357
"60",5028,195385.171724209,195.385171724209,1966329300.32227,1966.32930032227,9.9365437768835,350
"61",5029,23370.9269022828,23.3709269022828,287228312.473633,287.228312473633,8.1367072420579,269
"62",5030,1152360.07904265,1152.36007904265,5562305155.80029,5562.30515580029,20.7173113801746,884
"63",5031,154205.290057859,154.205290057859,6409457556.64575,6409.45755664575,2.40590235125231,37
"64",5032,149501.808986308,149.501808986308,798670411.507812,798.670411507812,18.7188365603858,793
"65",5033,712509.422817193,712.509422817193,7080248266.48071,7080.24826648071,10.0633395327443,358
"66",5034,262062.2000901,262.0622000901,7873537940.46948,7873.53794046948,3.3283919131591,69
"67",5035,452705.20241799,452.70520241799,1269844242.41626,1269.84424241626,35.6504512361755,1423
"68",5036,339641.8670555,339.6418670555,4357684059.00415,4357.68405900415,7.79409113778471,259
"69",5037,120421.110843229,120.421110843229,1846080351.99609,1846.08035199609,6.5230698497507,204
"70",5038,239810.054703944,239.810054703944,7919849275.26416,7919.84927526416,3.0279623559622,64
"71",6001,171111.037835701,171.111037835701,406860779.526855,406.860779526855,42.05641006604,1616
"72",6002,343367.403065585,343.367403065585,742258380.282227,742.258380282227,46.259821672209,1712
"73",6003,113438.328335387,113.438328335387,312540710.924316,312.540710924316,36.2955366678156,1452
"74",6004,98053.9339026881,98.0539339026881,524238487.56897,524.23848756897,18.7040700421271,790
"75",6005,160514.05315861,160.51405315861,409960415.34375,409.96041534375,39.1535492576812,1534
"76",6006,49709.2685662091,49.7092685662091,375014692.201416,375.014692201416,13.2552856194527,516
"77",6007,376753.134539338,376.753134539338,1350222595.54724,1350.22259554724,27.9030387864781,1177
"78",6008,69981.3396133972,69.9813396133972,412540995.106201,412.540995106201,16.9634873730262,705
"79",6009,251721.369057705,251.721369057705,934871201.833801,934.871201833801,26.9257806384387,1127
"80",6010,79036.3728148618,79.0363728148618,286399067.530396,286.399067530396,27.5965887376618,1166
"81",7001,55898.2990748064,55.8982990748064,250223911.123901,250.223911123901,22.3393115484986,944
"82",7002,79145.4624097089,79.1454624097089,482941211.626587,482.941211626587,16.3882187944036,671
"83",7003,181467.20739931,181.46720739931,565237174.478271,565.237174478271,32.1046130001639,1314
"84",7004,157501.782655463,157.501782655464,958184772.307983,958.184772307983,16.4375167720614,677
"85",7005,90103.9995270443,90.1039995270443,316061928.505127,316.061928505127,28.5083369430819,1199
"86",7006,90700.2471199726,90.7002471199726,255622017.192993,255.622017192993,35.4821732947575,1413
"87",7007,21065.0666870002,21.0650666870002,152677653.24353,152.67765324353,13.7970857158776,543
"88",7008,128237.736409474,128.237736409474,585683200.205444,585.683200205444,21.8954097308052,930
"89",7009,183535.274383639,183.535274383639,811760686.763428,811.760686763428,22.6095298006378,958
"90",7010,31877.095858559,31.877095858559,79384875.007202,79.384875007202,40.1551250860659,1562
"91",7011,63667.400599938,63.667400599938,215394589.416626,215.394589416626,29.5584957692645,1234
"92",7012,51549.3274921221,51.5493274921221,352815611.869995,352.815611869995,14.610840835217,588
"93",7013,131556.259085665,131.556259085665,365869062.378174,365.869062378174,35.9571968809115,1435
