"","muncode","year","name1","name2","lastn1","lastn2","party_mixed","fed_party"
"1",1001,"2006","MARTIN","OROZCO","SANDOVAL",NA,"PAN",1
"2",1001,"2007","MARTIN","OROZCO","SANDOVAL",NA,"PAN",1
"3",1001,"2008","FRANCISCO","GABRIEL","ARELLANO","ESPINOSA","PRI",0
"4",1001,"2009","FRANCISCO","GABRIEL","ARELLANO","ESPINOSA","PRI",0
"5",1001,"2010","FRANCISCO","GABRIEL","ARELLANO","ESPINOSA","PRI",0
"6",1001,"2011","LORENA","MARTINEZ","RODRIGUEZ","ESPINOSA","PRI",0
"7",1001,"2012","LORENA","MARTINEZ","RODRIGUEZ","ESPINOSA","PRI",0
"8",1001,"2013","LORENA","MARTINEZ","RODRIGUEZ","ESPINOSA","PRI",1
"9",1002,"2006","LUIS","BERISTAIN","MONTOYA","DEL CAMPO ","PAN",1
"10",1002,"2007","LUIS","BERISTAIN","MONTOYA","DEL CAMPO ","PAN",1
"11",1002,"2008","JOSE","LUIS","REYES","MEDINA","PRI",0
"12",1002,"2009","JOSE","LUIS","REYES","MEDINA","PRI",0
"13",1002,"2010","JOSE","LUIS","REYES","MEDINA","PRI",0
"14",1002,"2011","BAUDELIO","ESPARZA","REYES","MEDINA","PRI",0
"15",1002,"2012","BAUDELIO","ESPARZA","REYES","MEDINA","PRI",0
"16",1002,"2013","BAUDELIO","ESPARZA","REYES","MEDINA","PRI",1
"17",1003,"2006","HUMBERTO","GALLEGOS","ESCOBAR","MOTA ","PAN",1
"18",1003,"2007","HUMBERTO","GALLEGOS","ESCOBAR","MOTA ","PAN",1
"19",1003,"2008","JESUS","SOTO","LOPEZ","MOTA ","PAN",1
"20",1003,"2009","JESUS","SOTO","LOPEZ","MOTA ","PAN",1
"21",1003,"2010","JESUS","SOTO","LOPEZ","MOTA ","PAN",1
"22",1003,"2011","JORGE","ALBERTO","MARTINEZ","VILLALOBOS","PRI",0
"23",1003,"2012","JORGE","ALBERTO","MARTINEZ","VILLALOBOS","PRI",0
"24",1003,"2013","JORGE","ALBERTO","MARTINEZ","VILLALOBOS","PRI",1
"25",1004,"2006","LAMBERTO","ADAME","OCON","NUÑEZ ","PAN",1
"26",1004,"2007","LAMBERTO","ADAME","OCON","NUÑEZ ","PAN",1
"27",1004,"2008","ANDRES","DESANTIAGO","DELUNA","NUÑEZ ","PRI",0
"28",1004,"2009","ANDRES","DESANTIAGO","DELUNA","NUÑEZ ","PRI",0
"29",1004,"2010","ANDRES","DESANTIAGO","DELUNA","NUÑEZ ","PRI",0
"30",1004,"2011","PABLO","CORTES","DELACRUZ","NUÑEZ ","PRI",0
"31",1004,"2012","PABLO","CORTES","DELACRUZ","NUÑEZ ","PRI",0
"32",1004,"2013","PABLO","CORTES","DELACRUZ","NUÑEZ ","PRI",1
"33",1005,"2006","LUIS","FERNANDO","FLORES","MARTINEZ","PAN",1
"34",1005,"2007","LUIS","FERNANDO","FLORES","MARTINEZ","PAN",1
"35",1005,"2008","GREGORIO","ZAMARRIPA","DELGADO","MARTINEZ","PRI",0
"36",1005,"2009","GREGORIO","ZAMARRIPA","DELGADO","MARTINEZ","PRI",0
"37",1005,"2010","GREGORIO","ZAMARRIPA","DELGADO","MARTINEZ","PRI",0
"38",1005,"2011","MARTIN","GERARDO","CHAVEZ","DELBOSQUE","PRI",0
"39",1005,"2012","MARTIN","GERARDO","CHAVEZ","DELBOSQUE","PRI",0
"40",1005,"2013","MARTIN","GERARDO","CHAVEZ","DELBOSQUE","PRI",1
"41",1006,"2006","EDUARDO","CONSTANTINO","TORRES","CAMPOS","PAN",1
