"CVE_ENT","CVE_MUN","NOM_MUN","OID","muncode","total","FID","COUNT","AREA","MIN","MAX","RANGE","MEAN","STD","SUM","VARIETY","MAJORITY","MINORITY","MEDIAN"
9,12,"Tlalpan",1,9012,0,0,21881,0.0270136,2230,3922,1692,2948.29,355.523,64511489,1571,2235,3464,3009
9,13,"Xochimilco",2,9013,0,1,7944,0.00980741,2219,3162,943,2367.14,172.057,18804534,726,2229,2219,2294
9,8,"La Magdalena Contreras",3,9008,0,2,4412,0.00544691,2334,3820,1486,3030.8,403.487,13371876,1355,2481,2334,3035
9,2,"Azcapotzalco",4,9002,0,3,2337,0.00288519,2228,2262,34,2242.62,7.97735,5240996,35,2247,2262,2242
9,14,"Benito Jurez",5,9014,0,4,1861,0.00229753,2226,2291,65,2245.64,16.6563,4179135,64,2229,2287,2241
9,15,"Cuauhtmoc",6,9015,0,5,2268,0.0028,2221,2321,100,2234.36,14.4741,5067529,92,2229,2221,2230
9,10,"lvaro Obregn",7,9010,0,6,6674,0.00823951,2257,3813,1556,2661.75,392.316,17764521,1276,2340,2257,2484
9,5,"Gustavo A. Madero",8,9005,1,7,6128,0.00756543,2223,2946,723,2285.02,105.508,14002576,475,2229,2223,2236
9,4,"Cuajimalpa de Morelos",9,9004,0,8,4984,0.00615309,2433,3840,1407,2974.92,352.156,14827019,1256,2620,2434,2881
9,16,"Miguel Hidalgo",10,9016,0,9,3231,0.00398889,2232,2527,295,2299.46,64.435,7429546,270,2235,2409,2273
9,6,"Iztacalco",11,9006,0,10,1612,0.00199012,2226,2239,13,2230.44,2.10934,3595462,14,2229,2239,2230
9,3,"Coyoacn",12,9003,1,11,3751,0.00463086,2229,2420,191,2259.84,28.4942,8476645,148,2235,2340,2251
9,17,"Venustiano Carranza",13,9017,0,12,2359,0.00291235,2223,2296,73,2232.69,5.54839,5266925,40,2228,2246,2231
9,11,"Tlhuac",14,9011,0,13,5966,0.00736543,2212,2746,534,2268.93,71.4425,13536434,375,2240,2212,2240
9,7,"Iztapalapa",15,9007,0,14,7881,0.00972963,2226,2740,514,2262.49,54.5463,17830645,317,2230,2411,2242
9,9,"Milpa Alta",16,9009,0,15,20748,0.0256148,2230,3682,1452,2963.19,308.476,61480220,1370,3090,2241,3039
12,6,"Apaxtla",17,12006,0,16,43334,0.0534988,297,1985,1688,1098.36,341.073,47596526,1604,451,303,1129
12,17,"Cocula",18,12017,0,17,30816,0.0380444,451,1860,1409,789.855,268.805,24340164,1356,451,456,713
12,26,"Cuetzala del Progreso",19,12026,0,18,25807,0.0318605,451,1942,1491,1283.4,402.151,33120762,1466,451,452,1354
12,28,"Chilapa de lvarez",20,12028,0,19,51678,0.0638,693,2704,2011,1631.99,317.19,84337921,1853,1520,693,1636
