"","ID","TIMESTAMP","DIA","MES","year","ESTADO","Municipio","DE","PF","MIF","MAF","PFF","AFIF","PEF","PMF","PMUF","AMPF","DOF","CIF","PL","MIL","MAL","PFL","AFIFL","PEL","PML","PMUL","AMPL","DOL","CIL","ARL","ARC","CARG","CART","VE","AC","AP","DEL","TOR","DTRA","PRE","FCRU","ELE","TAX","DRO","VEH","VAL","asegur","corpo","team","com","arm","uni","din","veh","mar","coc","her","dr","otr","arl_d","arc_d","sedena","semar","bom","bomu","pfp","pes","pmu","min","afi","date","muncode","capital","dist_capital","NOM_MUN","pop","RANGE","MEAN","STD","party_mixed","fed_party","densidad","cartel","pct.poor","pct.extpoor","gini"
"1",1,1168927210,16,1,2007,16,15,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2007-01-16,16015,0,231.636750519,"Coalcom<e1>n de V<e1>zquez Pallares",17615,2642,1432.98,478.67,"OTHER",0,4.92105161550163,1,64.8,20.1,0.409
"2",2,1169013610,17,1,2007,16,15,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,9999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2007-01-17,16015,0,231.636750519,"Coalcom<e1>n de V<e1>zquez Pallares",17615,2642,1432.98,478.67,"OTHER",0,4.92105161550163,1,64.8,20.1,0.409
"3",3,1170136810,30,1,2007,7,65,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,14,0,0,0,0,0,0,0,9999,9999,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2007-01-30,7065,0,148.412773587,"Palenque",110918,880,165.25,151.508,"PRD",0,12.7314600114143,1,82.3,38.5,0.47
"4",4,1170396010,2,2,2007,15,81,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,17,0,1,0,0,0,1,0,9999,9999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2007-02-02,15081,0,86.0521112009,"Tec<e1>mac",364579,361,2276.29,47.1066,"PAN",1,114.728280279353,0,30.4,4,0.412
"5",5,1170482410,3,2,2007,25,6,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,18,0,1,0,0,0,0,0,9999,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2007-02-03,25006,1,0,"Culiac<e1>n",858638,1874,151.844,194.008,"PRI",0,23.1550758980324,1,29.8,3,0.437
"6",6,1170741610,6,2,2007,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,1,0,0,0,0,0,9999,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2007-02-06,2002,1,0,"Mexicali",936826,3096,228.699,333.172,"PAN",1,16.1557020164028,1,30.2,2.6,0.44
"7",7,1171519210,15,2,2007,19,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,1,0,0,0,1,0,9999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2007-02-15,19033,0,115.243227848,"Linares",78669,2257,478.991,348.463,"PAN",1,22.7242142350434,1,30.3,3.9,0.413
"8",8,1171605610,16,2,2007,1,1,7,4,0,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,31,0,1,0,0,0,1,0,4,8,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2007-02-16,1001,1,0,"Aguascalientes",797010,670,1927.67,78.0007,"PAN",1,85.756016729024,1,30.5,2.3,0.437
"9",9,1172124010,22,2,2007,26,17,4,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,1,0,0,0,1,0,9999,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2007-02-22,26017,0,210.367768393,"Caborca",81309,1255,295.205,220.279,"PAN",1,5.71750706135608,0,38.7,5.5,0.411
"10",10,1172124010,22,2,2007,16,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,1,0,0,0,0,0,9999,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-02-22,16006,0,140.280112975,"Apatzing<e1>n",123649,1928,543.906,359.028,"PRD",0,15.0190920862881,1,58.4,13.1,0.391
